raw_venue,raw_city,match_count,sample_match_id,sample_date,proposed_canonical_venue,proposed_canonical_city,proposed_country,needs_review,notes
JSCA International Stadium Complex,Ranchi,9,61,2017-10-07,"JSCA International Stadium Complex, Ranchi",Ranchi,India,FALSE,
"JU Second Campus, Salt Lake",,9,10301,2018-01-21,"JU Second Campus, Salt Lake",Kolkata,India,FALSE,"city NULL and no siblings with a city — please fill; no city — country unknown; filled via research (city=Kolkata, country=India)"
King George V Sports Ground,Castel,9,185,2019-06-15,"King George V Sports Ground, Castel",Castel,Guernsey,FALSE,country unknown — please fill; country filled via research (Guernsey)
MA Chidambaram Stadium,Chennai,9,5491,2018-04-10,"MA Chidambaram Stadium, Chepauk",Chennai,India,FALSE,
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,9,5876,2024-03-23,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",New Chandigarh,India,FALSE,"ambiguous venue name across cities ['Mohali', 'New Chandigarh'] — paren-disambiguate; Mullanpur/New Chandigarh; Mohali is neighbouring"
"Marina Ground, Corfu",Corfu,9,4415,2024-09-21,"Marina Ground, Corfu",Corfu,Greece,FALSE,country unknown — please fill; country filled via research (Greece)
"Mladost Cricket Ground, Zagreb",Zagreb,9,1862,2024-08-02,"Mladost Cricket Ground, Zagreb",Zagreb,Croatia,FALSE,country unknown — please fill; country filled via research (Croatia)
"Oakland Coliseum,Oakland",Oakland,9,11564,2025-06-12,"Oakland Coliseum,Oakland",Oakland,USA,FALSE,country unknown — please fill; country filled via research (USA)
"Queen's Park Oval, Port of Spain, Trinidad",Port of Spain,9,7721,2020-08-26,"Queen's Park Oval, Port of Spain",Port of Spain,Trinidad and Tobago,FALSE,
Senwes Park,Potchefstroom,9,40,2017-10-29,"Senwes Park, Potchefstroom",Potchefstroom,South Africa,FALSE,
"Sportpark Westvliet, The Hague",The Hague,9,844,2022-08-04,"Sportpark Westvliet, Voorburg",The Hague,Netherlands,FALSE,
"St George's College Ground, Buenos Aires",Buenos Aires,9,2050,2024-12-06,"St George's College Ground, Buenos Aires",Buenos Aires,Argentina,FALSE,country unknown — please fill; country filled via research (Argentina)
"Sylhet International Cricket Stadium, Academy Ground",Sylhet,9,3812,2022-10-01,"Sylhet International Cricket Stadium, Academy Ground",Sylhet,Bangladesh,FALSE,
Tack-Tec Ground,Kuwait City,9,5122,2018-04-20,Tack-Tec Ground,Kuwait City,Kuwait,FALSE,country unknown — please fill; country filled via research (Kuwait)
"The Village, Malahide, Dublin",Dublin,9,438,2021-07-19,"The Village, Malahide",Dublin,Ireland,FALSE,
Tolerance Oval,Abu Dhabi,9,147,2018-10-22,Tolerance Oval,Abu Dhabi,United Arab Emirates,FALSE,
United Cricket Club Ground,Windhoek,9,261,2019-08-19,"United Cricket Club Ground, Windhoek",Windhoek,Namibia,FALSE,
"Velden Cricket Ground, Latschach",Latschach,9,2244,2025-05-30,"Velden Cricket Ground, Latschach",Latschach,Austria,FALSE,country unknown — please fill; country filled via research (Austria)
"Vidarbha Cricket Association Stadium, Jamtha",,9,10851,2016-01-02,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,India,FALSE,city filled from sibling rows (Nagpur)
County Ground,Taunton,8,13,2017-06-23,County Ground (Taunton),Taunton,England,FALSE,"ambiguous venue name across cities ['Bristol', 'Chelmsford', 'Derby', 'Hove', 'Northampton', 'Taunton'] — paren-disambiguate"
"Goldenacre, Edinburgh",Edinburgh,8,1266,2023-07-20,"Goldenacre, Edinburgh",Edinburgh,Scotland,FALSE,
"Grainville, St Saviour, Jersey",St Saviour,8,3934,2023-05-29,"Grainville, St Saviour",St Saviour,Jersey,FALSE,country unknown — please fill; country filled via research (Jersey)
Gurugram Cricket Ground (SRNCC),,8,10680,2021-11-04,Gurugram Cricket Ground (SRNCC),Gurugram,India,FALSE,"city NULL and no siblings with a city — please fill; no city — country unknown; filled via research (city=Gurugram, country=India)"
Hazelaarweg,Rotterdam,8,98,2018-06-12,"Hazelaarweg, Rotterdam",Rotterdam,Netherlands,FALSE,
Hong Kong Cricket Club,Wong Nai Chung Gap,8,4121,2023-11-18,Hong Kong Cricket Club,Wong Nai Chung Gap,Hong Kong,FALSE,country unknown — please fill; country filled via research (Hong Kong)
Karen Rolton Oval,Adelaide,8,11972,2018-12-21,"Karen Rolton Oval, Adelaide",Adelaide,Australia,FALSE,
"Lilac Hill Park, Perth",Perth,8,12132,2021-10-30,"Lilac Hill Park, Perth",Perth,Australia,FALSE,
Molyneux Park,Alexandra,8,9780,2017-12-26,"Molyneux Park, Alexandra",Alexandra,New Zealand,FALSE,"country unknown — please fill; country filled via research (Australia); corrected Alexandra=NZ (Central Otago), not Australia"
"Nassau County International Cricket Stadium, New York",New York,8,1511,2024-06-03,"Nassau County International Cricket Stadium, New York",New York,USA,FALSE,
Old Hararians,Harare,8,3431,2019-05-05,Old Hararians,Harare,Zimbabwe,FALSE,
"Pembroke Cricket Club, Sandymount, Dublin",Dublin,8,3727,2022-06-03,"Pembroke Cricket Club, Sandymount",Dublin,Ireland,FALSE,
"Sabina Park, Kingston, Jamaica",Kingston,8,868,2022-08-10,"Sabina Park, Kingston",Kingston,Jamaica,FALSE,
"Sinhalese Sports Club Ground, Colombo",Colombo,8,2595,2026-02-07,"Sinhalese Sports Club Ground, Colombo",Colombo,Sri Lanka,FALSE,
Sulabiya Ground,Kuwait City,8,5120,2018-04-20,Sulabiya Ground,Kuwait City,Kuwait,FALSE,country unknown — please fill; country filled via research (Kuwait)
University of Dar-es-Salaam Ground,Dar-es-Salaam,8,1926,2024-09-21,University of Dar-es-Salaam Ground,Dar-es-Salaam,Tanzania,FALSE,country unknown — please fill; country filled via research (Tanzania)
University of Lagos Cricket Oval,Lagos,8,685,2021-10-19,University of Lagos Cricket Oval,Lagos,Nigeria,FALSE,
Vanuatu Cricket Ground (Oval 2),Port Vila,8,4030,2023-09-01,Vanuatu Cricket Ground (Oval 2),Port Vila,Vanuatu,FALSE,country unknown — please fill; country filled via research (Vanuatu)
"ACA Stadium,Mangalagiri",,7,10685,2021-11-04,"ACA Stadium,Mangalagiri",Mangalagiri,India,FALSE,"city NULL and no siblings with a city — please fill; no city — country unknown; filled via research (city=Mangalagiri, country=India)"
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,,7,10671,2021-11-04,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,India,FALSE,city filled from sibling rows (Lucknow)
Buffalo Park,East London,7,112,2018-10-09,"Buffalo Park, East London",East London,South Africa,FALSE,
"Castle Avenue, Dublin",Dublin,7,523,2021-08-27,"Castle Avenue, Dublin",Dublin,Ireland,FALSE,
"Clayton Panama, Panama City",Panama City,7,2192,2025-04-17,"Clayton Panama, Panama City",Panama City,Panama,FALSE,country unknown — please fill; country filled via research (Panama)
"College Ground, Cheltenham",Cheltenham,7,8855,2021-07-09,"College Ground, Cheltenham",Cheltenham,England,FALSE,country unknown — please fill; country filled via research (England)
"Dr. Gokaraju Laila Ganga Raju ACA Cricket Complex -CP Ground,Mulapadu",,7,10320,2019-02-21,"Dr. Gokaraju Laila Ganga Raju ACA Cricket Complex -CP Ground,Mulapadu",Vijayawada,India,FALSE,"city NULL and no siblings with a city — please fill; no city — country unknown; filled via research (city=Vijayawada, country=India)"
Dreux Sport Cricket Club,Dreux,7,1719,2024-05-09,Dreux Sport Cricket Club,Dreux,France,FALSE,country unknown — please fill; country filled via research (France)
"Great Barrier Reef Arena, Mackay",Mackay,7,4227,2024-09-19,"Great Barrier Reef Arena, Mackay",Mackay,Australia,FALSE,
Lochlands,Arbroath,7,3493,2019-09-01,Lochlands,Arbroath,Scotland,FALSE,country unknown — please fill; country filled via research (Scotland)
"MA Aziz Stadium, Chittagong",Chattogram,7,11346,2013-01-28,"MA Aziz Stadium, Chittagong",Chattogram,Bangladesh,FALSE,
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Hambantota,7,2952,2012-09-18,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Hambantota,Sri Lanka,FALSE,
Old Deer Park,Richmond,7,8349,2017-07-20,Old Deer Park,Richmond,England,FALSE,country unknown — please fill; country filled via research (England)
Prairie View Cricket Complex,Houston,7,1647,2024-04-07,Prairie View Cricket Complex,Houston,USA,FALSE,
Queen's Park,Chesterfield,7,8324,2017-07-08,Queen's Park (Chesterfield),Chesterfield,England,FALSE,"ambiguous venue name across cities ['Chesterfield', 'Invercargill'] — paren-disambiguate; country unknown — please fill"
"Radlett Cricket Club, Radlett",Radlett,7,8791,2021-06-15,"Radlett Cricket Club, Radlett",Radlett,England,FALSE,country unknown — please fill; country filled via research (England)
"Sheikh Abu Naser Stadium, Khulna",Khulna,7,11339,2013-01-22,"Sheikh Abu Naser Stadium, Khulna",Khulna,Bangladesh,FALSE,
Sportpark Westvliet,The Hague,7,242,2019-08-08,"Sportpark Westvliet, Voorburg",The Hague,Netherlands,FALSE,
St  Pauls college ground  Kalamassery,,7,10855,2016-01-02,St Pauls college ground Kalamassery,Kochi,India,FALSE,"whitespace-normalized venue; city NULL and no siblings with a city — please fill; no city — country unknown; filled via research (city=Kochi, country=India)"
St'Xavier's KCA Cricket Ground,,7,10450,2019-11-08,St'Xavier's KCA Cricket Ground,Thiruvananthapuram,India,FALSE,"city NULL and no siblings with a city — please fill; no city — country unknown; filled via research (city=Thiruvananthapuram, country=India)"
"Stanley Park, Blackpool",Blackpool,7,8969,2022-06-19,"Stanley Park, Blackpool",Blackpool,England,FALSE,country unknown — please fill; country filled via research (England)
VCA Ground,,7,10852,2016-01-02,VCA Ground,Nagpur,India,FALSE,"city NULL and no siblings with a city — please fill; no city — country unknown; filled via research (city=Nagpur, country=India)"
"VRA Ground, Amstelveen",Amstelveen,7,3950,2023-08-14,"VRA Ground, Amstelveen",Amstelveen,Netherlands,FALSE,
"Woodbridge Road, Guildford",Guildford,7,12487,2018-07-22,"Woodbridge Road, Guildford",Guildford,England,FALSE,
Albert Park 2,Suva,6,5154,2018-08-25,"Albert Park 2, Suva",Suva,Fiji,FALSE,country unknown — please fill; country filled via research (Fiji)
Alembic 2  Cricket Ground,,6,10692,2021-11-05,Alembic 2 Cricket Ground,Vadodara,India,FALSE,"whitespace-normalized venue; city NULL and no siblings with a city — please fill; no city — country unknown; filled via research (city=Vadodara, country=India)"
Amini Park,Port Moresby,6,161,2019-03-22,"Amini Park, Port Moresby",Port Moresby,Papua New Guinea,FALSE,country unknown — please fill; country filled via research (Papua New Guinea)
"Bir Sreshtho Flight Lieutenant Matiur Rahman Stadium, Chattogram",Chattogram,6,2547,2025-10-27,"Bir Sreshtho Flight Lieutenant Matiur Rahman Stadium, Chattogram",Chattogram,Bangladesh,FALSE,
"Botkyrka Cricket Center, Stockholm",Stockholm,6,2442,2025-08-08,"Botkyrka Cricket Center, Stockholm",Stockholm,Sweden,FALSE,country unknown — please fill; country filled via research (Sweden)
"Bready Cricket Club, Magheramason",Londonderry,6,4,2016-09-05,"Bready Cricket Club, Magheramason",Bready,Ireland,FALSE,"ambiguous venue name across cities ['Bready', 'Londonderry'] — paren-disambiguate; country unknown — please fill; Bready/Magheramason are in County Londonderry; cricket-Ireland ground"
Brisbane Cricket Ground,Brisbane,6,6807,2021-01-02,"Brisbane Cricket Ground, Woolloongabba",Brisbane,Australia,FALSE,
Casey Fields No. 4,Melbourne,6,11866,2016-12-17,"Casey Fields No 4, Melbourne",Melbourne,Australia,FALSE,punctuation collision — merged into canonical
"Greenfield International Stadium, Thiruvananthapuram",Thiruvananthapuram,6,1012,2022-09-28,"Greenfield International Stadium, Thiruvananthapuram",Thiruvananthapuram,India,FALSE,
"Ground 1, Independence Park",Port Vila,6,3443,2019-05-06,"Ground 1, Independence Park",Port Vila,Vanuatu,FALSE,country unknown — please fill; country filled via research (Vanuatu)
Gymkhana Club Ground,Nairobi,6,2804,2007-09-01,Gymkhana Club Ground (Nairobi),Nairobi,Kenya,FALSE,
Harrup Park,Mackay,6,11929,2018-01-12,Harrup Park,Mackay,Australia,FALSE,
Kyambogo Cricket Oval,Kampala,6,176,2019-05-20,Kyambogo Cricket Oval,Kampala,Uganda,FALSE,
"N'Du Stadium, Noumea, New Caledonia",Noumea,6,4502,2025-03-13,"N'Du Stadium, Noumea, New Caledonia",Noumea,New Caledonia,FALSE,country unknown — please fill; country filled via research (New Caledonia)
"Narendra Modi Stadium Ground 'A', Motera",,6,10665,2021-01-26,"Narendra Modi Stadium Ground 'A', Motera",Ahmedabad,India,FALSE,"city NULL and no siblings with a city — please fill; no city — country unknown; filled via research (city=Ahmedabad, country=India)"
National Stadium,Hamilton,6,252,2019-08-19,National Stadium (Hamilton),Hamilton,Bermuda,FALSE,"ambiguous venue name across cities ['Hamilton', 'Karachi'] — paren-disambiguate"
Royal Selangor Club,Kuala Lumpur,6,3305,2018-06-04,"Royal Selangor Club, Kuala Lumpur",Kuala Lumpur,Malaysia,FALSE,
"Royal Selangor Club, Kuala Lumpur",Kuala Lumpur,6,4153,2024-02-10,"Royal Selangor Club, Kuala Lumpur",Kuala Lumpur,Malaysia,FALSE,
"Ruaraka Sports Club Ground, Nairobi",Nairobi,6,1984,2024-10-19,"Ruaraka Sports Club Ground, Nairobi",Nairobi,Kenya,FALSE,
Shaheed Veer Narayan Singh International Stadium,Raipur,6,6385,2013-04-28,"Shaheed Veer Narayan Singh International Stadium, Raipur",Raipur,India,FALSE,
Sheikh Zayed Stadium Nursery 1,Abu Dhabi,6,5254,2013-11-15,Tolerance Oval,Abu Dhabi,United Arab Emirates,FALSE,
"Simonds Stadium, South Geelong, Victoria",Geelong,6,6653,2018-01-03,"Simonds Stadium, South Geelong",South Geelong,Australia,FALSE,
Sportpark Thurlede,Schiedam,6,5178,2018-09-01,Sportpark Thurlede,Schiedam,Netherlands,FALSE,country unknown — please fill; country filled via research (Netherlands)
The Kent County Cricket Ground,Beckenham,6,8330,2017-07-09,The Kent County Cricket Ground,Beckenham,England,FALSE,
"Titwood, Glasgow",Glasgow,6,2257,2025-06-15,"Titwood, Glasgow",Glasgow,Scotland,FALSE,
Traeger Park,Alice Springs,6,6664,2018-01-13,Traeger Park,Alice Springs,Australia,FALSE,
UKM-YSD Cricket Oval,Bangi,6,5204,2018-10-03,"UKM-YSD Cricket Oval, Bangi",Bangi,Malaysia,FALSE,country unknown — please fill; country filled via research (Malaysia)
Albert Park 1,Suva,5,5153,2018-08-25,"Albert Park 1, Suva",Suva,Fiji,FALSE,country unknown — please fill; country filled via research (Fiji)
Albertslund Cricket Club,Copenhagen,5,4763,2025-08-29,Albertslund Cricket Club,Copenhagen,Denmark,FALSE,
Alur Cricket Stadium III,,5,10581,2021-01-10,Alur Cricket Stadium III,Bengaluru,India,FALSE,"city NULL and no siblings with a city — please fill; no city — country unknown; filled via research (city=Bengaluru, country=India)"
Arundel Castle Cricket Club Ground,,5,4990,2012-09-16,Arundel Castle Cricket Club Ground,Arundel,England,FALSE,city filled from sibling rows (Arundel)
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium B,,5,10672,2021-11-04,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium B,Lucknow,India,FALSE,"city NULL and no siblings with a city — please fill; no city — country unknown; filled via research (city=Lucknow, country=India)"
Camberwell Sports Ground,Melbourne,5,11880,2017-01-04,Camberwell Sports Ground,Melbourne,Australia,FALSE,
College Field,St Peter Port,5,188,2019-06-16,"College Field, St Peter Port",St Peter Port,Guernsey,FALSE,country unknown — please fill; country filled via research (Guernsey)
"De Beers Diamond Oval, Kimberley",Kimberley,5,12743,2012-02-17,"De Beers Diamond Oval, Kimberley",Kimberley,South Africa,FALSE,
F B Colony Ground,,5,10586,2021-01-10,F B Colony Ground,Vadodara,India,FALSE,"city NULL and no siblings with a city — please fill; no city — country unknown; filled via research (city=Vadodara, country=India)"
"FB Fields, St Clement",St Clement,5,3935,2023-05-29,"FB Fields, St Clement",St Clement,Jersey,FALSE,country unknown — please fill; country filled via research (Jersey)
"Grainville, St Saviour",St Saviour,5,2278,2025-06-06,"Grainville, St Saviour",St Saviour,Jersey,FALSE,country unknown — please fill; country filled via research (Jersey)
Green Park,Kanpur,5,16,2017-01-26,Green Park,Kanpur,India,FALSE,
"ICC Academy Ground No 2, Dubai",Dubai,5,3643,2021-11-23,"ICC Academy Ground No 2, Dubai",Dubai,United Arab Emirates,FALSE,
Koge Cricket Club,Koge,5,2302,2025-06-14,Koge Cricket Club,Koge,Denmark,FALSE,prefix of 'Koge Cricket Club 2' — verify whether to merge or keep separate; country unknown — please fill; keep separate from Koge Cricket Club 2
"Lugogo Cricket Oval, Kampala",Kampala,5,4820,2025-10-20,"Lugogo Cricket Oval, Kampala",Kampala,Uganda,FALSE,
Malkerns Country Club oval,Malkerns,5,2487,2025-09-12,Malkerns Country Club oval,Malkerns,Eswatini,FALSE,country unknown — please fill; country filled via research (Eswatini)
"Meersen, Gent",Ghent,5,877,2022-06-28,"Meersen, Gent",Ghent,Belgium,FALSE,country unknown — please fill; country filled via research (Belgium)
"Merchant Taylors' School Ground, Northwood",Northwood,5,9036,2023-05-29,"Merchant Taylors' School Ground, Northwood",Northwood,England,FALSE,country unknown — please fill; country filled via research (England)
Narendra Modi Stadium,Ahmedabad,5,426,2021-03-12,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,India,FALSE,
"National Stadium, Hamilton",Hamilton,5,1411,2023-10-03,National Stadium (Hamilton),Hamilton,Bermuda,FALSE,
Nehru Stadium,Kochi,5,6203,2011-04-09,Nehru Stadium,Kochi,India,FALSE,
"Nigeria Cricket Federation Oval 2, Abuja",Abuja,5,2038,2024-11-28,"Nigeria Cricket Federation Oval 2, Abuja",Abuja,Nigeria,FALSE,
SSN College Ground,,5,10594,2021-01-11,SSN College Ground,Chennai,India,FALSE,"city NULL and no siblings with a city — please fill; no city — country unknown; filled via research (city=Chennai, country=India)"
Saxton Oval,Nelson,5,52,2017-12-29,"Saxton Oval, Nelson",Nelson,New Zealand,FALSE,
Sheikh Zayed Stadium Nursery 2,Abu Dhabi,5,5258,2013-11-15,Mohan's Oval,Abu Dhabi,United Arab Emirates,FALSE,
"Sky Stadium, Wellington",Wellington,5,1343,2024-02-21,"Sky Stadium, Wellington",Wellington,New Zealand,FALSE,
Southend Club Cricket Stadium,Karachi,5,3374,2019-01-31,"Southend Club Cricket Stadium, Karachi",Karachi,Pakistan,FALSE,
"Sportpark Het Schootsveld, Deventer",Deventer,5,1257,2023-06-29,"Sportpark Het Schootsveld, Deventer",Deventer,Netherlands,FALSE,country unknown — please fill; country filled via research (Netherlands)
Sri Ramachandra Medical College,,5,10596,2021-01-11,Sri Ramachandra Medical College,Chennai,India,FALSE,"city NULL and no siblings with a city — please fill; no city — country unknown; filled via research (city=Chennai, country=India)"
T I Murugappa Ground,,5,10595,2021-01-11,T I Murugappa Ground,Chennai,India,FALSE,"city NULL and no siblings with a city — please fill; no city — country unknown; filled via research (city=Chennai, country=India)"
Tafawa Balewa Square Cricket Oval,Lagos,5,5137,2018-04-14,"Tafawa Balewa Square Cricket Oval, Lagos",Lagos,Nigeria,FALSE,
The Wanderers Stadium,Johannesburg,5,73,2018-02-18,Wanderers Stadium,Johannesburg,South Africa,FALSE,
"University of Tasmania Stadium, Launceston",Launceston,5,6929,2022-12-19,"University of Tasmania Stadium, Launceston",Launceston,Australia,FALSE,
Uxbridge Cricket Club Ground,,5,8345,2017-07-16,Uxbridge Cricket Club Ground,Uxbridge,England,FALSE,city filled from sibling rows (Uxbridge); country unknown — please fill; country filled via research (England)
"7he Sevens Stadium, Dubai",Dubai,4,2699,2026-01-23,"7he Sevens Stadium, Dubai",Dubai,United Arab Emirates,FALSE,
Abu Dhabi Oval 1,Abu Dhabi,4,5257,2013-11-15,Abu Dhabi Oval 1,Abu Dhabi,United Arab Emirates,FALSE,
"Aigburth, Liverpool",Liverpool,4,12480,2017-08-23,"Aigburth, Liverpool",Liverpool,England,FALSE,
Alur Cricket Stadium,,4,10579,2021-01-10,Alur Cricket Stadium,Bengaluru,India,FALSE,"city NULL and no siblings with a city — please fill; no city — country unknown; filled via research (city=Bengaluru, country=India)"
Alur Cricket Stadium II,,4,10580,2021-01-10,Alur Cricket Stadium II,Bengaluru,India,FALSE,"city NULL and no siblings with a city — please fill; no city — country unknown; filled via research (city=Bengaluru, country=India)"
Barsapara Cricket Stadium,Guwahati,4,62,2017-10-10,"Barsapara Cricket Stadium, Guwahati",Guwahati,India,FALSE,
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,4,142,2018-11-06,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,India,FALSE,
"Blacktown International Sportspark, Sydney",Sydney,4,12171,2022-10-14,"Blacktown International Sportspark, Sydney",Sydney,Australia,FALSE,
Chaudhry Bansi Lal Cricket Stadium,,4,10682,2021-11-04,Chaudhry Bansi Lal Cricket Stadium,Lahli,India,FALSE,"city NULL and no siblings with a city — please fill; no city — country unknown; filled via research (city=Lahli, country=India)"
De Beers Diamond Oval,Kimberley,4,2919,2010-10-10,"De Beers Diamond Oval, Kimberley",Kimberley,South Africa,FALSE,
"Eastern Oval, Ballarat",Ballarat,4,12189,2022-10-29,"Eastern Oval, Ballarat",Ballarat,Australia,FALSE,country unknown — please fill; country filled via research (Australia)
Goldenacre,Edinburgh,4,5332,2015-07-15,"Goldenacre, Edinburgh",Edinburgh,Scotland,FALSE,
"Grange Cricket Club Ground, Raeburn Place",Edinburgh,4,3131,2015-07-09,"Grange Cricket Club Ground, Raeburn Place",Edinburgh,Scotland,FALSE,
"Ground 2, Independence Park",Port Vila,4,3444,2019-05-06,"Ground 2, Independence Park",Port Vila,Vanuatu,FALSE,country unknown — please fill; country filled via research (Vanuatu)
Guanggong International Cricket Stadium,,4,4994,2012-10-28,Guanggong International Cricket Stadium,Guangzhou,China,FALSE,"city NULL and no siblings with a city — please fill; no city — country unknown; filled via research (city=Guangzhou, country=China)"
Haslegrave Ground,Loughborough,4,4991,2012-09-04,"Haslegrave Ground, Loughborough",Loughborough,England,FALSE,country unknown — please fill; country filled via research (England)
"International Sports Stadium, Coffs Harbour",Coffs Harbour,4,6902,2022-01-09,"International Sports Stadium, Coffs Harbour",Coffs Harbour,Australia,FALSE,country unknown — please fill; country filled via research (Australia)
Jadavpur University Campus,,4,10582,2021-01-10,Jadavpur University Campus,Kolkata,India,FALSE,"city NULL and no siblings with a city — please fill; no city — country unknown; filled via research (city=Kolkata, country=India)"
Kaizuka Cricket Ground,Osaka,4,3841,2022-10-27,Kaizuka Cricket Ground,Osaka,Japan,FALSE,country unknown — please fill; country filled via research (Japan)
Kerrydale Oval,Gold Coast,4,5048,2014-08-30,Kerrydale Oval,Gold Coast,Australia,FALSE,
Lalabhai Contractor Stadium,Surat,4,3518,2019-09-24,Lalabhai Contractor Stadium,Surat,India,FALSE,
Los Reyes Polo Club,Guacima,4,1701,2024-04-12,Los Reyes Polo Club,Guacima,Costa Rica,FALSE,country unknown — please fill; country filled via research (Costa Rica)
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",New Chandigarh,4,2189,2025-12-11,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",New Chandigarh,India,FALSE,country unknown — please fill; country filled via research (India)
"Malek Cricket Ground, Ajman",Ajman,4,3718,2022-04-27,"Malek Cricket Ground, Ajman",Ajman,United Arab Emirates,FALSE,
"Maple Leaf North-East Ground, King City",King City,4,2307,2025-06-12,"Maple Leaf North-East Ground, King City",King City,Canada,FALSE,
"Mission Road Ground, Mong Kok",Hong Kong,4,3205,2016-01-30,"Mission Road Ground, Mong Kok",Mong Kok,Hong Kong,FALSE,
Morodok Techo National Stadium,Phnom Penh,4,3902,2023-02-09,Morodok Techo National Stadium,Phnom Penh,Cambodia,FALSE,country unknown — please fill; country filled via research (Cambodia)
Myreside,Edinburgh,4,5321,2015-07-10,Myreside,Edinburgh,Scotland,FALSE,
Nehru Stadium,,4,10675,2021-11-04,Nehru Stadium,Kochi,India,FALSE,city filled from sibling rows (Kochi)
New Williamfield No1 Oval,Stirling,4,5329,2015-07-14,New Williamfield No1 Oval,Stirling,Scotland,FALSE,country unknown — please fill; country filled via research (Scotland)
P Sara Oval,Colombo,4,3121,2014-11-24,"P Sara Oval, Colombo",Colombo,Sri Lanka,FALSE,
Pokhara Rangasala,Pokhara,4,3531,2019-12-02,Pokhara Rangasala,Pokhara,Nepal,FALSE,
"Queen's Park, Chesterfield",Chesterfield,4,8963,2022-06-18,Queen's Park (Chesterfield),Chesterfield,England,FALSE,country unknown — please fill; country filled via research (England)
Royal Chiangmai Golf Club,Chiang Mai,4,3875,2022-11-29,Royal Chiangmai Golf Club,Chiang Mai,Thailand,FALSE,
Seebarn Cricket Centre,Lower Austria,4,3543,2020-08-13,"Seebarn Cricket Centre, Lower Austria",Lower Austria,Austria,FALSE,country unknown — please fill; country filled via research (Austria)
Sheikh Abu Naser Stadium,Khulna,4,3211,2016-01-15,"Sheikh Abu Naser Stadium, Khulna",Khulna,Bangladesh,FALSE,
Tribhuvan University International Cricket Ground,Kirtipur,4,360,2019-12-05,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Nepal,FALSE,
"Warner Park, St Kitts",Basseterre,4,145,2019-03-08,"Warner Park, St Kitts",Basseterre,Saint Kitts and Nevis,FALSE,
West End Park International Cricket Stadium,Doha,4,5042,2014-01-19,"West End Park International Cricket Stadium, Doha",Doha,Qatar,FALSE,country unknown — please fill; country filled via research (Qatar)
AMI Stadium,Christchurch,3,2853,2009-02-25,AMI Stadium,Christchurch,New Zealand,FALSE,
Al Dhaid Cricket Village,,3,5310,2015-01-25,Al Dhaid Cricket Village,Al Dhaid,United Arab Emirates,FALSE,"city NULL and no siblings with a city — please fill; no city — country unknown; filled via research (city=Al Dhaid, country=United Arab Emirates)"
Alembic 1 Cricket Ground,,3,10858,2016-01-02,Alembic 1 Cricket Ground,Vadodara,India,FALSE,"city NULL and no siblings with a city — please fill; no city — country unknown; filled via research (city=Vadodara, country=India)"
Arundel Castle Cricket Club Ground,Arundel,3,12482,2017-08-26,Arundel Castle Cricket Club Ground,Arundel,England,FALSE,
"Clifton Park Ground, York",York,3,12479,2017-08-20,"Clifton Park Ground, York",York,England,FALSE,country unknown — please fill; country filled via research (England)
Clontarf Cricket Club Ground,Dublin,3,5334,2015-07-17,"Clontarf Cricket Club Ground, Dublin",Dublin,Ireland,FALSE,
"Clontarf Cricket Club Ground, Dublin",Dublin,3,4535,2025-08-06,"Clontarf Cricket Club Ground, Dublin",Dublin,Ireland,FALSE,
Colts Cricket Club Ground,Colombo,3,3345,2018-09-21,Colts Cricket Club Ground,Colombo,Sri Lanka,FALSE,
"Cricket Central, Sydney",Sydney,3,12238,2023-10-26,"Cricket Central, Sydney",Sydney,Australia,FALSE,
"Darren Sammy National Cricket Stadium, St Lucia",Gros Islet,3,144,2019-03-05,"Darren Sammy National Cricket Stadium, St Lucia",Gros Islet,Saint Lucia,FALSE,
"Ekeberg Cricket Ground 1, Oslo",Oslo,3,4375,2024-08-11,"Ekeberg Cricket Ground 1, Oslo",Oslo,Norway,FALSE,country unknown — please fill; country filled via research (Norway)
Gliderol Stadium,Adelaide,3,11904,2017-12-09,Gliderol Stadium,Adelaide,Australia,FALSE,
Gucherre Cricket Ground,Albergaria,3,530,2021-08-20,Gucherre Cricket Ground,Albergaria,Portugal,FALSE,country unknown — please fill; country filled via research (Portugal)
IC-Gurunanak College Ground,,3,10609,2021-01-13,IC-Gurunanak College Ground,Chennai,India,FALSE,"city NULL and no siblings with a city — please fill; no city — country unknown; filled via research (city=Chennai, country=India)"
